step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1,semantic_similarity,train_loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,,0.0,0.003332191389745347,0.003332191389745347,0.001677289980674828,0.032533482142857145,0.007705019426186293,0.04751327143287343,0.1599094232901102,0.7252210909799095,0.7852270603179932,0.17186249230532713,,,,28.927927017211914,8.6084,64.588,8.132
626,1.0,0.0,0.001092840013703323,0.001092840013703323,0.0015201809948355476,0.11107700892857143,0.009539123852110684,0.03257906762797981,0.1321042957466627,0.8652396900058102,0.7816080451011658,0.1701898644754509,20.3825,792.7385864257812,3.998722921345728e-05,6.395658016204834,8.6248,64.465,8.116
1252,2.0,0.0,0.0,0.0,1.1182628022449912e-05,0.5014229910714286,3.0402115404815422e-05,0.00308802642921217,0.12318021767836883,1.2437709930194436,0.7305188775062561,0.1805782778759775,5.0691,381.40557861328125,3.992194355924198e-05,3.482055187225342,8.6152,64.537,8.125
1878,3.0,0.0,0.0,0.0,0.0007407582038024739,0.5121372767857143,0.0031472346633109973,0.12851417832718146,0.2510731062550578,0.8793315584930017,0.8010982871055603,0.3838943304519149,3.6922,2494.42626953125,3.980146718063329e-05,3.2797608375549316,8.6407,64.347,8.101
