step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1,train_loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,,0.0,0.003332191389745347,0.003332191389745347,0.001677289980674828,0.032533482142857145,0.007705019426186293,0.04751327143287343,0.1599094232901102,0.7252210909799095,0.7852270603179932,,,,28.927927017211914,8.5544,64.995,8.183
626,1.0,0.0,0.0,0.0,0.0004866931586674416,0.5119698660714286,0.0011169471038187375,0.12478101324538579,0.2313976613262903,0.9653219634877437,0.7933167219161987,13.0605,290.9720153808594,9.94732281802254e-05,3.351238489151001,8.6062,64.604,8.134
1252,2.0,0.0,0.0,0.0,0.0005318099162141993,0.5124720982142857,0.004212791947669926,0.12809270424541036,0.23295965654019646,0.4204411278658838,0.798556923866272,3.3388,59.87906265258789,9.680745223845588e-05,3.021697759628296,8.6109,64.569,8.129
1878,3.0,0.0,0.0006144175568636001,0.0006144175568636001,0.003554174675866078,0.6859654017857143,0.025377336475219635,0.10740938047347305,0.22784341739358369,0.361776509555798,0.8256361484527588,2.939,2.8595614433288574,9.200630015955671e-05,1.5547637939453125,8.6018,64.638,8.138
2504,4.0,0.030215827338129497,0.053141486810551565,0.053141486810551565,0.10713159161145192,0.8130580357142857,0.15524333826876544,0.279420035955312,0.4069587682598718,2.0145178006087017,0.8542020916938782,1.4589,3.7542266845703125,8.528880256984316e-05,0.9611191749572754,8.6036,64.624,8.136
3130,5.0,0.04028776978417266,0.03050445357999315,0.03050445357999315,0.11425219406645602,0.8244419642857143,0.1834567740003663,0.3074975272539458,0.43620834025931915,1.6751407119653312,0.8616676330566406,1.1576,0.6168968677520752,7.69614146034512e-05,0.8892602920532227,8.616,64.531,8.124
3756,6.0,0.04964028776978417,0.02590013703323056,0.02590013703323056,0.11255048083299103,0.8294363839285714,0.18309844263531708,0.31238774731632335,0.4431730212148442,1.5175840469113564,0.8622894287109375,1.0711,3.3838255405426025,6.740403528708851e-05,0.8613786101341248,8.6288,64.435,8.112
4382,7.0,0.04820143884892086,0.021396882494004798,0.021396882494004798,0.11240405868985408,0.8339285714285715,0.18261835351760833,0.29959337612641107,0.43831244781933704,1.2062118726288074,0.8633173704147339,1.015,0.9160945415496826,5.705267638276445e-05,0.8376067280769348,8.6293,64.431,8.112
5008,8.0,0.05647482014388489,0.022286742034943473,0.022286742034943473,0.11705981224951208,0.8363560267857143,0.19055785844430526,0.3080886387303302,0.44195002211494,1.2130752476560795,0.8637502789497375,0.9852,1.0469416379928589,4.637957134336061e-05,0.827625036239624,8.6337,64.399,8.108
5634,9.0,0.058992805755395686,0.02306269270298047,0.02306269270298047,0.10144725761535116,0.8378069196428571,0.17348136397641098,0.2980044636174348,0.4343051173395693,1.1753910371284972,0.862303614616394,0.9652,1.5881503820419312,3.5871631819058595e-05,0.8179897665977478,8.6315,64.415,8.11
6260,10.0,0.057194244604316546,0.02052757793764988,0.02052757793764988,0.10454193433667122,0.8391741071428571,0.17584273080950868,0.29943858980275434,0.4357208636831404,1.1564334436442991,0.8624550104141235,0.941,0.5483651757240295,2.60082345380829e-05,0.8095614910125732,8.633,64.404,8.108
6886,11.0,0.05503597122302158,0.01999314833847208,0.01999314833847208,0.10712195759062106,0.8404575892857142,0.17916050829951777,0.3016827504994137,0.43704715827114776,1.1658864051098847,0.8631690144538879,0.9274,0.36935827136039734,1.723935193383e-05,0.8048678636550903,8.6172,64.522,8.123
7512,12.0,0.05539568345323741,0.019556354916067147,0.019556354916067147,0.10362403721561317,0.8405691964285714,0.17525831174711734,0.3002757355915942,0.4359985909655387,1.1799617603234587,0.862585723400116,0.921,1.3256901502609253,9.965024208595418e-06,0.8045121431350708,8.6249,64.465,8.116
8138,13.0,0.05971223021582734,0.025208975676601575,0.025208975676601575,0.10701774852990438,0.8407366071428571,0.1790353454769089,0.30216413979536366,0.43704759234831486,1.184277589856056,0.8626762628555298,0.9162,0.8274744153022766,4.51710932719629e-06,0.8011218309402466,8.6146,64.542,8.126
8764,14.0,0.058633093525179855,0.021663240835902705,0.021663240835902705,0.10355258779334667,0.841015625,0.17492843462041402,0.2995853753867057,0.435259442205686,1.180852920594549,0.8624321818351746,0.9112,0.8740872740745544,1.144143513642154e-06,0.8014093637466431,8.6103,64.574,8.13
9390,15.0,0.0579136690647482,0.020779376498800958,0.020779376498800958,0.10274468244234623,0.8409877232142857,0.17388601408215765,0.29859867260090833,0.43453498245558897,1.1825855235915532,0.8622220754623413,0.915,1.2627590894699097,2.9215190822107217e-12,0.801191508769989,8.6145,64.543,8.126
