step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1,train_loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,,0.0,0.024789284652257763,0.02453374802534124,0.005900978046932889,0.12947811092342343,0.035757677402711525,0.16873953562735608,0.27848117445758735,5.069973532059461,0.8133085370063782,,,,14.44675064086914,2.9207,200.982,25.337
660,1.0,0.0,0.004062626754279225,0.004062626754279225,0.024652859839636825,0.7469559403153153,0.07918704768192382,0.21594095910879074,0.34923882474165346,1.4764463112600024,0.7799914479255676,5.244,2.391866445541382,4.9932371915563744e-05,1.2530550956726074,2.7039,217.095,27.368
1320,2.0,0.026575809199318567,0.05005949000838268,0.05005949000838268,0.06681103481382397,0.7992592201576576,0.13237263060329515,0.25564896378157403,0.39749947478887476,1.2085579848098624,0.8532874584197998,1.3959,1.6528054475784302,4.9598954900293625e-05,1.031062364578247,2.6908,218.15,27.501
1980,3.0,0.04224872231686542,0.06605986858116329,0.06605986858116329,0.09777685732365528,0.8095351210585586,0.17178716955349532,0.2954305442155213,0.43480644199624696,1.1790080154816795,0.8616635203361511,1.2161,1.814638614654541,4.899050345108642e-05,0.9621720314025879,2.7075,216.809,27.332
2640,4.0,0.04770017035775128,0.0719136854060193,0.0719136854060193,0.1017997202376361,0.8162214949324325,0.17968001584974488,0.29942214514796855,0.4377599021301226,1.331553048317349,0.8621436357498169,1.1264,0.9689693450927734,4.8113820503294016e-05,0.9331067204475403,2.7125,216.405,27.281
3300,5.0,0.048040885860306644,0.07688813174332765,0.07688813174332765,0.10970210103258492,0.8213242539414414,0.19078370857449853,0.31312984462810606,0.4475553297867865,1.3692212415957175,0.8644266128540039,1.0739,1.7489371299743652,4.697870801798614e-05,0.9010480046272278,2.7119,216.456,27.287
3960,6.0,0.04838160136286201,0.07558205565019875,0.07558205565019875,0.11526728943093872,0.8233477618243243,0.19876709349053837,0.32387966247337235,0.45654615364067674,1.44622875056703,0.8663371801376343,1.0356,1.6077723503112793,4.5597857388806014e-05,0.8804178833961487,2.7065,216.886,27.342
4620,7.0,0.05008517887563884,0.08383953922284416,0.08383953922284416,0.12301836319902182,0.827271607545045,0.21103438830818647,0.33134245823872976,0.46289803428166065,1.3774244714368684,0.8676599860191345,1.0022,0.6216713190078735,4.39867075428417e-05,0.864772379398346,2.671,219.769,27.705
5280,8.0,0.05144804088586031,0.0898645250263649,0.0898645250263649,0.12756290039742235,0.8296030405405406,0.2199808134415271,0.3421652300091056,0.47257366760048525,1.307056313606042,0.8694579601287842,0.9756,0.5404504537582397,4.2163272322049855e-05,0.849743127822876,2.6646,220.294,27.771
5940,9.0,0.05247018739352641,0.08716313782753306,0.08716313782753306,0.12891052015093865,0.832057643581081,0.2232421172856724,0.3476929624643811,0.47612933147126635,1.365167012977173,0.8704389929771423,0.9571,0.6175432205200195,4.0147939075234675e-05,0.8391212821006775,2.6827,218.808,27.584
6600,10.0,0.05178875638841567,0.08822827938671209,0.08822827938671209,0.1311811277330931,0.8334125140765766,0.22954170392379133,0.3548911807551337,0.48074695409573787,1.3920004753729855,0.8710167407989502,0.9406,0.7951210737228394,3.79632407124722e-05,0.8369142413139343,2.6822,218.847,27.589
7260,11.0,0.05042589437819421,0.09205402774397664,0.09205402774397664,0.13427714349738418,0.8348025760135135,0.23209492316918573,0.35611173410006697,0.4824718662518342,1.3779769223898113,0.8715381026268005,0.9246,1.0127562284469604,3.5633603770579176e-05,0.8238584995269775,2.6799,219.037,27.613
7920,12.0,0.04838160136286201,0.08278413239230956,0.08278413239230956,0.1304913390316466,0.8362014358108109,0.22832477829102793,0.3531739661608602,0.48067969286555134,1.3587821712304131,0.8706429600715637,0.9133,2.1143338680267334,3.3185075306440325e-05,0.8142221570014954,2.6749,219.445,27.664
8580,13.0,0.05110732538330494,0.07942565100997809,0.07942565100997809,0.12471088499422717,0.8369492539414414,0.22214500314597516,0.35457859403016523,0.4803836481154107,1.3952565194688247,0.8703821301460266,0.9029,0.7021777033805847,3.06450316717276e-05,0.8112322092056274,2.6766,219.304,27.647
9240,14.0,0.04872231686541738,0.08459965928449745,0.08459965928449745,0.1319903140151614,0.8382689329954954,0.23119331638530743,0.3540792131209534,0.48100839863571515,1.3895972002469144,0.8707061409950256,0.8935,1.1986069679260254,2.8041872425124705e-05,0.8083805441856384,2.6754,219.408,27.66
9900,15.0,0.04531516183986371,0.08150239312079176,0.08150239312079176,0.12702063209259493,0.8390607404279279,0.2273306263176053,0.3519677979038637,0.4790994529951396,1.3959023808329432,0.8700418472290039,0.8849,0.8229765295982361,2.540470280434356e-05,0.8040220737457275,2.6822,218.851,27.589
10560,16.0,0.04565587734241908,0.0823544522863092,0.0823544522863092,0.13173806439909863,0.8401340793918919,0.2318934257242295,0.35504424004767143,0.48188772118293166,1.3598862740173847,0.8707457184791565,0.8771,1.1693614721298218,2.2763008308129438e-05,0.7999140024185181,2.6879,218.384,27.531
11220,17.0,0.04463373083475298,0.07997512236013088,0.07997512236013088,0.12612751687567952,0.8403276323198198,0.22597636133405893,0.3489169857503703,0.47718731981050144,1.3467012164293675,0.869636058807373,0.8717,0.18945759534835815,2.01463250266677e-05,0.8001770973205566,2.6907,218.162,27.503
11880,18.0,0.04599659284497445,0.08148319407263188,0.08148319407263188,0.12849887586460498,0.8411018440315315,0.2289668331757403,0.35251270079852576,0.48022535560959817,1.3673578575307674,0.8701251149177551,0.866,1.8133831024169922,1.7583909406340998e-05,0.7971069812774658,2.6857,218.566,27.553
12540,19.0,0.041567291311754684,0.0811132743841432,0.0811132743841432,0.12448758996775369,0.841673704954955,0.22495634282366878,0.3493578977367867,0.47822704915671893,1.3364718313504318,0.8700313568115234,0.8606,0.9305645227432251,1.5104411141110093e-05,0.7914789915084839,2.6735,219.559,27.679
13200,20.0,0.041567291311754684,0.0833238690138179,0.0833238690138179,0.12183241023444652,0.8426942567567568,0.22232595727695093,0.34641865285104323,0.4765608710944982,1.32545735838549,0.8696006536483765,0.8575,1.1001958847045898,1.2735552847833704e-05,0.7900224924087524,2.6831,218.777,27.58
13860,21.0,0.04633730834752981,0.0820353695140748,0.0820353695140748,0.12727457572104434,0.8425095016891891,0.22703496879847315,0.3497295717435096,0.47882844849684325,1.3328431630713165,0.8698515892028809,0.8543,1.0342140197753906,1.0503820106993172e-05,0.7925146818161011,2.6878,218.391,27.531
14520,22.0,0.04497444633730835,0.08132148941348259,0.08132148941348259,0.12499748711401266,0.8424831081081081,0.22583522310725235,0.35059199768341726,0.4788545591984077,1.347165840254046,0.8695178627967834,0.852,1.4443501234054565,8.434165334394929e-06,0.7899838089942932,2.6743,219.495,27.671
15180,23.0,0.044293015332197615,0.08052243043725156,0.08052243043725156,0.12290145644437414,0.8426854588963965,0.22260808138704372,0.34684558896411016,0.4765232913781332,1.3299098680521568,0.868959367275238,0.85,1.2502795457839966,6.549728794783302e-06,0.7895064353942871,2.6876,218.413,27.534
