step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1,train_loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,,0.0,0.0035904924150239313,0.0035904924150239313,0.0018931246730345156,0.03150513795045045,0.008293935627975016,0.04446319804664646,0.15744320631647796,0.7912967727910126,0.7859997153282166,,,,29.964385986328125,9.2847,63.222,7.97
660,1.0,0.0,0.0,0.0,0.002052683100958974,0.5397663288288289,0.007106361225569709,0.15115539437965134,0.2444741602653659,1.1741082345868816,0.8125057220458984,12.7414,128.96005249023438,9.873623259639628e-05,3.1850528717041016,9.4613,62.042,7.821
1320,2.0,0.0,0.0,0.0,0.002562783217952556,0.5422385275900901,0.008110053614976579,0.14675206932909837,0.2508940615255221,0.6644610792305805,0.7983537912368774,3.2942,32.62607192993164,9.264482712510592e-05,2.919203281402588,9.2713,63.314,7.982
1980,3.0,0.0,0.0,0.0,0.003976488499669018,0.5442796311936937,0.01386656272966097,0.14805113547226356,0.25049991553218687,0.687475036294294,0.8017693161964417,3.0765,39.4243278503418,8.21163950178166e-05,2.8300533294677734,10.1571,57.792,7.286
2640,4.0,0.0,0.0,0.0,0.0028006456130106445,0.5789432010135135,0.01706495822268537,0.14862340421003398,0.2673291668462394,0.6250763629560726,0.8009059429168701,2.959,12.93377685546875,6.824637825060443e-05,2.4761574268341064,10.0848,58.206,7.338
3300,5.0,0.016354344122657582,0.039122251967226414,0.039122251967226414,0.026754363387689474,0.7834318693693694,0.08179132727441808,0.17683235627220775,0.3067299678131182,0.6225452569524117,0.8406062126159668,2.0759,3.35433030128479,5.247789754845982e-05,1.073830246925354,9.9658,58.901,7.425
3960,6.0,0.024872231686541738,0.06361969660095725,0.06361969660095725,0.06194751641471814,0.8114354588963965,0.12583520904784867,0.2405433642514942,0.38878233216419394,0.9786445826330598,0.8548179268836975,1.312,2.214805841445923,3.645160134640616e-05,0.9560006856918335,9.9401,59.054,7.445
