step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1,train_loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,,0.0,0.004092914254204576,0.004092914254204576,0.0014470381912161314,0.03881048387096774,0.009261178402435528,0.04334028615315032,0.1603458017445638,0.43760632092847535,0.7858619689941406,,,,27.37621307373047,3.9383,62.972,7.871
279,1.0,0.0,0.003949742014258143,0.003949742014258143,0.0030897488109839985,0.04202368951612903,0.015313450790944302,0.06101769514415468,0.18700566973941854,0.4793554019454295,0.7969556450843811,26.7059,806.3364868164062,3.999921742389994e-05,17.782434463500977,3.8296,64.758,8.095
558,2.0,0.0,0.0007168458781362007,0.0007168458781362007,0.0008547012552355948,0.05525453629032258,0.0054354386638734474,0.02118717661935219,0.0791477382588568,0.7678014598938004,0.7624609470367432,14.1381,1378.8602294921875,3.99836085524663e-05,7.603298664093018,3.8445,64.508,8.063
837,3.0,0.0,0.0,0.0,2.588498007681376e-05,0.45432207661290325,0.00023499527547669614,0.0031992157059888894,0.018231906309267677,0.35559902325292553,0.7494838833808899,7.1587,857.5360717773438,3.9947992482093406e-05,4.275705814361572,3.8405,64.575,8.072
1116,4.0,0.0,0.0,0.0,3.909553785330753e-05,0.46622983870967744,0.00026778836400589143,0.0033446239573700375,0.13457007260831266,0.9072557735757381,0.7416804432868958,4.9661,660.912841796875,3.989240487089592e-05,4.028102874755859,3.8417,64.556,8.069
1395,5.0,0.0,0.0,0.0,3.062884675718838e-05,0.4754284274193548,0.0006412568525351637,0.09265112682128662,0.24321096772638953,0.6084314485166183,0.787041187286377,4.458,202.35191345214844,3.981690137210549e-05,3.90447735786438,3.8542,64.346,8.043
1674,6.0,0.0,0.0,0.0,1.9166782541075033e-05,0.4754914314516129,0.0010317834245119198,0.09321446458172637,0.23700487756485628,0.5979897229680616,0.7899277210235596,4.2592,88.83186340332031,3.9721557578351784e-05,3.8446409702301025,3.8424,64.543,8.068
1953,7.0,0.0,0.0012903225806451613,0.0012903225806451613,0.0005464511337403812,0.47555443548387094,0.0031541908511389855,0.09443149404183052,0.2337655582115636,0.586614460686147,0.792254626750946,4.1248,168.22276306152344,3.960646894598065e-05,3.7932779788970947,3.8442,64.512,8.064
2232,8.0,0.0,0.0,0.0,0.00023181995295497036,0.4756804435483871,0.0028092186438779796,0.09546704215645453,0.2298962969500648,0.6864367098276438,0.7979654669761658,4.0503,248.5017852783203,3.947175069948508e-05,3.75046968460083,3.8393,64.596,8.074
