step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1,train_loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,,0.0,0.004092914254204576,0.004092914254204576,0.0014470381912161314,0.03881048387096774,0.009261178402435528,0.04334028615315032,0.1603458017445638,0.43760632092847535,0.7858619689941406,,,,27.37621307373047,3.9167,63.319,7.915
279,1.0,0.0,0.0011328725038402456,0.0011328725038402456,0.004402933261082864,0.05147429435483871,0.02031816944747724,0.0910065716031656,0.22169402108762404,0.9198918248556789,0.7999925017356873,22.0724,1681.534423828125,9.99054992061846e-05,8.645651817321777,3.8413,64.561,8.07
558,2.0,0.0,0.0,0.0,2.168087933555582e-05,0.4664818548387097,0.00012208169176802314,0.004503135131815369,0.10463874078069953,0.5209255313893302,0.7518401145935059,5.9593,234.11282348632812,9.803278902839946e-05,3.905219793319702,3.8513,64.393,8.049
837,3.0,0.0,0.0,0.0,0.0016671676754527452,0.47561743951612906,0.006237885925521355,0.09484076678972524,0.22579205068494868,0.6686823183449591,0.7912447452545166,4.162,44.8564567565918,9.384568255187898e-05,3.6653311252593994,3.8494,64.425,8.053
1116,4.0,0.0,0.0,0.0,0.0013541736989714861,0.48053175403225806,0.006786872692624212,0.09540303774750218,0.21664093785721822,0.4981355628486439,0.7908414602279663,3.892,114.41357421875,8.754592995452642e-05,3.434082269668579,3.8537,64.354,8.044
1395,5.0,0.0,0.0,0.0,0.0010628722791640767,0.5049773185483871,0.006622790831951038,0.11001164978344902,0.24049493134826513,1.1794276318960233,0.7755061984062195,3.7279,317.1477966308594,7.943707646844648e-05,3.117241621017456,3.847,64.466,8.058
1674,6.0,0.0,0.002150537634408602,0.002150537634408602,0.003546136304427688,0.6364037298387096,0.02595131623451369,0.1079823693576211,0.2501757101084372,0.48125815593229093,0.8245892524719238,3.2077,2.7034003734588623,6.990983645511571e-05,1.9451689720153809,3.8328,64.705,8.088
1953,7.0,0.0,0.0,0.0,0.005648958705366277,0.6697958669354839,0.03485260276814627,0.125338426035842,0.2672634829264547,2.078123062259914,0.8015070557594299,2.266,0.8737708330154419,5.942326735154827e-05,1.7137972116470337,3.8431,64.531,8.066
2232,8.0,0.0,0.0,0.0,0.006716954230493171,0.6788054435483871,0.0400514544398331,0.13656982945705343,0.28032507286736796,3.3404866036996452,0.7891749739646912,2.0659,1.744146704673767,4.8482650595917086e-05,1.6635668277740479,3.8373,64.629,8.079
2511,9.0,0.0,0.0035771889400921662,0.0035771889400921662,0.006809081824275998,0.6810105846774194,0.040584219147052875,0.13959736086719463,0.28227876713707095,3.3733684751011834,0.7911494374275208,1.9873,1.8484946489334106,3.761514531092364e-05,1.638258695602417,3.834,64.684,8.086
2790,10.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0072924363510455436,0.6838457661290323,0.04377092968587149,0.1456703727256577,0.28604904556085836,3.357404213487403,0.7922040224075317,1.9514,1.4869556427001953,2.734438783992504e-05,1.6242551803588867,3.835,64.667,8.083
3069,11.0,0.0,0.005376344086021506,0.005376344086021506,0.007806181833868701,0.6861769153225806,0.04504798886313206,0.14716126176717373,0.2887263701095828,3.2671828755613905,0.7939915060997009,1.9218,1.0561480522155762,1.8165261023516583e-05,1.6132560968399048,3.8468,64.469,8.059
3348,12.0,0.0,0.0051075268817204296,0.0051075268817204296,0.008022517053433124,0.6874369959677419,0.04668888774989881,0.14864798507354013,0.29013752552266614,3.2353470012677934,0.7950254678726196,1.9027,1.3355069160461426,1.0520048925547966e-05,1.6082696914672852,3.8334,64.694,8.087
3627,13.0,0.0,0.0039247311827956995,0.0039247311827956995,0.007919306381231585,0.6875630040322581,0.04729370784432877,0.1478639326776573,0.28929748110499226,3.2383095919220573,0.7953736782073975,1.899,0.9867545366287231,4.777125961507029e-06,1.6069083213806152,3.8431,64.532,8.067
