step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1,semantic_similarity,rag_rouge1,rag_rougeL,rag_bleu,rag_meteor,rag_chrf,rag_fuzzy,rag_len_ratio,rag_bertscore_f1,rag_semantic_similarity,train_loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,0.0,0.07511111111111111,0.17589055432667877,0.17578597916328007,0.3641430755959744,0.16751583752707955,0.5334795860151015,0.5547868714424703,0.5697403019035246,1.6982879021961412,0.90016108751297,0.7162873244794706,0.02733111132918857,0.027082468767792495,0.005297686731278783,0.0777299530530671,0.2061334105711014,0.23473975919977744,7.257951038281386,0.8182821273803711,0.4157939887543519,0.0,0.0,0.0,5.256321430206299,6.03,74.627,18.74
1012,1.0,0.004,0.11249474491869398,0.1124754212471964,0.1777981210923913,0.0002348855230567367,0.3691054795670366,0.3922627119252624,0.409889732990217,2.1003515887932283,0.8642083406448364,0.6054373296275735,0.06310501459498706,0.06273901688589582,0.013914502104912676,0.10909206759130866,0.22474864312269074,0.2368910830529768,7.857768034098648,0.8256432414054871,0.4353563124082155,2.3215,3.24753475189209,3.8667984189723325e-05,1.7312171459197998,5.9049,76.207,19.137
2024,2.0,0.0022222222222222222,0.10103337605239814,0.10103337605239814,0.12153595517185992,0.00020673444255238805,0.31233846346266936,0.3469272464273126,0.3622431768702885,2.887525863723965,0.8560187816619873,0.5642403168044985,0.06821327300398164,0.06739865729237121,0.02367314096277518,0.12322773160856382,0.2330076511741379,0.23966817511630525,7.9737133829137035,0.8269957900047302,0.4379167486487163,1.7147,3.3942136764526367,3.733465085638999e-05,1.6507294178009033,5.9027,76.236,19.144
3036,3.0,0.0026666666666666666,0.12863580565720575,0.12863580565720575,0.17026101388698256,0.00025321349710957883,0.4039474542590029,0.410010467528558,0.38948070261314177,3.663531498454082,0.8700854182243347,0.6385129132411547,0.06657542432810706,0.06580713464600209,0.020684247763283325,0.11965285537575268,0.230518691635352,0.23835650220942878,7.922857962356103,0.8261584639549255,0.4363368911089169,1.5411,1.2281180620193481,3.600131752305666e-05,1.6228909492492676,5.9099,76.144,19.12
4048,4.0,0.00044444444444444447,0.1355857573715095,0.1355857573715095,0.14776197620386305,0.0001849737148988337,0.3511589755211795,0.3748181673285171,0.3739996469233413,2.8921381218146283,0.852106511592865,0.5901784994792607,0.065957619183784,0.06457096264274541,0.016713410779551918,0.11320912038075487,0.22574964246279,0.23638865094995895,7.9171520011803125,0.8253804445266724,0.43298972973310285,1.4094,3.6400039196014404,3.466798418972332e-05,1.6183642148971558,5.9169,76.053,19.098
5060,5.0,0.0013333333333333333,0.1445807993683004,0.1445807993683004,0.13667490178084363,0.00020427480654524932,0.34148110784920294,0.37407123735426606,0.3694431338886217,3.5006795757913163,0.855089008808136,0.5853867069913281,0.0673555075512685,0.06641580400511334,0.017756376468579003,0.11531102347337019,0.22686928330643616,0.23661198862910776,8.031813104780353,0.8256711959838867,0.4315609021836685,1.2953,1.9386682510375977,3.333465085638999e-05,1.629050612449646,5.9045,76.213,19.138
6072,6.0,0.0026666666666666666,0.16025719312523296,0.16025719312523296,0.17142898353807284,0.00011283449813996351,0.3946490651446134,0.41019847660860564,0.39419261582827714,3.2283564850655297,0.8657948970794678,0.6147911578040156,0.06826191804117547,0.0667660257789762,0.019271548935354453,0.11641482166460095,0.22841129418279155,0.23774454842754394,7.939378518386262,0.8253578543663025,0.4323428481618563,1.2022,3.5129547119140625,3.2001317523056656e-05,1.639745831489563,5.9171,76.051,19.097
7084,7.0,0.0008888888888888889,0.14945125091900982,0.14945125091900982,0.16725748214801062,0.00015083471104202094,0.3752197338082098,0.40676417442511675,0.4073897137716733,2.957278105387253,0.8562279939651489,0.5960456162786318,0.06692415809492659,0.0658185236002312,0.01824130646413662,0.11892695943763952,0.22921007960493556,0.23833192321853464,7.9370722693529325,0.8256736993789673,0.43268012546334,1.1196,3.4999451637268066,3.066798418972332e-05,1.674939513206482,5.9194,76.022,19.09
8096,8.0,0.0026666666666666666,0.1459011415152963,0.1459011415152963,0.17736749707192526,0.00012553267384816342,0.3895612056473424,0.4145047110440372,0.40395851995009036,3.2483396779054945,0.8610250353813171,0.5947250057715509,0.07086227010818721,0.07005223966129581,0.022012891237789014,0.12040520364338035,0.23141234963769025,0.23968745532356772,7.892868832481078,0.8256087899208069,0.4329500120787157,1.0375,2.3188953399658203,2.9334650856389987e-05,1.6935009956359863,5.9195,76.02,19.089
9108,9.0,0.00044444444444444447,0.17072425326335025,0.1702798088189058,0.16951099095018193,0.00014172114774326636,0.395319025537366,0.41036005402267695,0.3870851669591601,3.5989109448046706,0.8519515991210938,0.5874065329391095,0.07150696669861971,0.07091764290149193,0.019980438291668953,0.11920430630315347,0.22994888511931588,0.23842425580750073,7.962719854338143,0.8256543874740601,0.4320853898177544,0.9666,4.188323974609375,2.8001317523056654e-05,1.7161623239517212,5.9104,76.137,19.119
