step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1,train_loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,,0.0,0.01921449069618406,0.01882367780537117,0.010089317209034915,0.15262276785714285,0.046205208895256915,0.1808929279446909,0.3023349043864909,4.011516039150328,0.8147060871124268,,,,12.829051971435547,2.9538,208.546,26.068
693,1.0,0.003896103896103896,0.03221125014956184,0.03221125014956184,0.04534075228234309,0.7398538961038961,0.10609060644420282,0.23267328421154856,0.36210214580841993,1.3722528104742822,0.8074857592582703,4.9547,0.6480231881141663,4.992959178847745e-05,1.3098089694976807,2.8271,217.89,27.236
1386,2.0,0.025,0.05334029066171924,0.05334029066171924,0.11125906123362954,0.7983969155844156,0.1919081595992926,0.2936991632089039,0.42399605182989286,1.3749675437085198,0.8567202091217041,1.4524,1.2611730098724365,4.9592478685232324e-05,1.0493073463439941,2.8271,217.891,27.236
2079,3.0,0.03603896103896104,0.07159812409812409,0.07159812409812409,0.10561532490973413,0.8133624188311688,0.18241637330616095,0.2821230578294714,0.4189883566941248,1.1821696249327025,0.8561141490936279,1.2352,1.4011454582214355,4.8980670326296215e-05,0.9739009141921997,2.8347,217.308,27.164
