step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1,semantic_similarity,train_loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,0.0,0.0,0.0019464434449441945,0.0019464434449441945,0.0016524805656408432,0.039365571120689655,0.008136584983882053,0.04645692580039302,0.16236133550325987,0.41694514312541636,0.7877388000488281,0.16727052530172565,0.0,0.0,0.0,25.25823402404785,7.1852,64.02,8.072
517,1.0,0.0,0.0012892651216634386,0.0012892651216634386,0.0034509617233400994,0.05445177801724138,0.02248249048584927,0.08312787666202563,0.22017319603577154,0.7938294184422386,0.8047035932540894,0.2137594415447877,20.2945,1353.474609375,3.993916716668695e-05,8.714388847351074,7.1295,64.521,8.135
1034,2.0,0.0,0.0,0.0,9.920097006383656e-05,0.4161166487068966,0.0003140907342382063,0.004525719433657586,0.13607883111634467,0.7648849424767479,0.7429397702217102,0.14748030279763044,6.5312,427.7449645996094,3.9578552995235405e-05,4.064792633056641,7.1481,64.352,8.114
1551,3.0,0.0,0.0,0.0,0.00016576347663507145,0.43386314655172414,0.0007132357617690995,0.09309985166421665,0.23566481562118052,0.6227649123701656,0.7936045527458191,0.3133590390616218,4.3302,45.22269058227539,3.889940456675303e-05,3.7938826084136963,7.13,64.516,8.135
2068,4.0,0.0,0.0,0.0,0.0006848552506953282,0.43396417025862066,0.003392690797447879,0.0940363930698637,0.22465905449827545,0.5996363735283123,0.7961314916610718,0.31311326326478434,4.0312,759.07080078125,3.791277132090644e-05,3.695279836654663,7.1308,64.509,8.134
2585,5.0,0.0,0.0,0.0,0.0014321865212147764,0.4403286637931034,0.008552287115002949,0.09725985341183434,0.24076193622358297,0.7052950972524663,0.8002777695655823,0.3021376285003498,3.8916,76.84335327148438,3.6634705337131944e-05,3.5842301845550537,7.1234,64.575,8.142
3102,6.0,0.0,0.0,0.0,0.002070973748820947,0.4452114762931034,0.009488741379489518,0.09731003234730091,0.24422872301875304,0.8067095948075419,0.7901590466499329,0.2885373365293945,3.7745,238.0172119140625,3.508600017451825e-05,3.472001552581787,7.1345,64.475,8.129
3619,7.0,0.0,0.0,0.0,0.001709581139580297,0.45299030172413796,0.010776045411058071,0.10120959844389173,0.24391225636040742,0.7490116504091531,0.7937018871307373,0.2878561345020147,3.6828,92.20722198486328,3.329185256994645e-05,3.336031675338745,7.121,64.598,8.145
4136,8.0,0.0,0.0,0.0,0.002116942428760917,0.4646080280172414,0.010126518719178372,0.10782704071527772,0.24197407934299509,1.1550908308848722,0.7691338062286377,0.26054285873031324,3.5946,221.40667724609375,3.1281452498506344e-05,3.1397297382354736,7.1332,64.487,8.131
4653,9.0,0.0,0.0,0.0,0.0025621257761666008,0.498046875,0.01340020550254468,0.12205757297493207,0.2627047430888226,1.176522761439113,0.7801949381828308,0.27985645433077994,3.4853,151.38247680664062,2.9087508265722205e-05,2.8200790882110596,7.1423,64.405,8.121
5170,10.0,0.0,0.002173913043478261,0.002173913043478261,0.0031559645452154694,0.5340449892241379,0.01843871475482509,0.13918357241102458,0.2952021443721292,1.2449841677780362,0.796343207359314,0.31125752879509133,3.3603,21.147552490234375,2.6745714358123604e-05,2.4827396869659424,7.1479,64.354,8.114
5687,11.0,0.0,0.002028985507246377,0.002028985507246377,0.005491653216578666,0.6200161637931034,0.030882990723948855,0.12714580698099065,0.26677024472231303,0.3750841822183382,0.8303954601287842,0.3594025103830854,2.9627,2.4697675704956055,2.429417070999361e-05,1.9414799213409424,7.1404,64.422,8.123
6204,12.0,0.0,0.0013333333333333333,0.0013333333333333333,0.010989989531333611,0.6994881465517241,0.052191855350700256,0.13022037648855495,0.2706036649655573,0.5829651195308464,0.8375948667526245,0.38252850825614904,2.1526,2.2860190868377686,2.1772762834563262e-05,1.4927875995635986,7.1448,64.382,8.118
6721,13.0,0.0,0.03791407867494824,0.03791407867494824,0.05082201178863143,0.7330953663793104,0.10038225741051328,0.2109943655920921,0.3713201256383084,1.1702861675289438,0.8493728637695312,0.4458017854441119,1.7836,1.0686209201812744,1.9222512904639042e-05,1.3629786968231201,7.1409,64.417,8.122
7238,14.0,0.010869565217391304,0.06540683229813664,0.06540683229813664,0.08306870727996248,0.7484172952586207,0.13232710757032362,0.2528491397308801,0.41394593488744963,1.5003338329675415,0.855785071849823,0.4652315123051243,1.6433,1.2486742734909058,1.668491234029012e-05,1.2990463972091675,7.1424,64.405,8.121
7755,15.0,0.01565217391304348,0.06593788819875776,0.06593788819875776,0.09613448282438011,0.7543103448275862,0.14540283285579167,0.26414316053644427,0.4225062222624611,1.5128231348791896,0.8582742214202881,0.46644709361798087,1.563,1.0940309762954712,1.4201246762093374e-05,1.2659693956375122,7.1349,64.472,8.129
8272,16.0,0.018695652173913044,0.05916977225672877,0.05916977225672877,0.09298635521305078,0.758856411637931,0.1441917624816923,0.2680458213133826,0.42770187245364066,1.3638415238524348,0.8608332872390747,0.4577867632164903,1.5139,1.8596034049987793,1.18119242926438e-05,1.2531558275222778,7.161,64.237,8.099
8789,17.0,0.02043478260869565,0.06540993788819877,0.06540993788819877,0.10321335619276943,0.7620891702586207,0.15518352443795477,0.2824799230983616,0.43742801508849183,1.434038466030349,0.8632764220237732,0.46451528894755506,1.4819,1.2018933296203613,9.555818134562565e-06,1.2317553758621216,7.1388,64.437,8.125
9306,18.0,0.01956521739130435,0.05756107660455487,0.05756107660455487,0.09634346793691122,0.7643453663793104,0.15165749578799148,0.2781083502503755,0.43296683771849553,1.3618807990439306,0.8633836507797241,0.4598114462415485,1.4547,0.9199907779693604,7.46963412096318e-06,1.225646734237671,7.148,64.353,8.114
9823,19.0,0.023043478260869565,0.061380952380952376,0.061380952380952376,0.10434633155520115,0.7658943965517241,0.16342827879899274,0.28915275605099516,0.4403051263136954,1.367322547890164,0.8651952147483826,0.46311086296792264,1.4337,0.9019030332565308,5.587313528045335e-06,1.2158615589141846,7.1518,64.319,8.11
10340,20.0,0.02217391304347826,0.0606128364389234,0.0606128364389234,0.10476643887840832,0.766668911637931,0.16438477993362102,0.2907582546292315,0.44223150232859193,1.3506356628162939,0.8657225966453552,0.46119495507410685,1.4298,1.521615743637085,3.939480865787096e-06,1.2097676992416382,7.1283,64.532,8.137
10857,21.0,0.023478260869565216,0.060708074534161494,0.060708074534161494,0.10259068204141795,0.767645474137931,0.16034157240378716,0.2878317247284587,0.43978303119454487,1.360766645174183,0.8648991584777832,0.4588771453054379,1.411,2.12699818611145,2.5529456309327614e-06,1.2105447053909302,7.1369,64.453,8.127
11374,22.0,0.02217391304347826,0.060345755693581776,0.060345755693581776,0.1028892812858621,0.7682852909482759,0.1615450415462462,0.28898498889511776,0.4411673878089181,1.3700559262188967,0.8651677370071411,0.4587975669061036,1.4103,1.502493977546692,1.4502661285311636e-06,1.206955909729004,7.1437,64.393,8.119
