step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1,train_loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,,0.0,0.004092914254204576,0.004092914254204576,0.0014470381912161314,0.03881048387096774,0.009261178402435528,0.04334028615315032,0.1603458017445638,0.43760632092847535,0.7858619689941406,,,,27.37621307373047,3.9662,62.528,7.816
279,1.0,0.0,0.005582437275985663,0.005582437275985663,0.0031952610690045833,0.03647933467741935,0.016676255376987647,0.062437528322773904,0.19653694671216362,0.5746001169395847,0.8002246022224426,23.5231,575.9022216796875,7.99820095396748e-05,10.354331016540527,3.8404,64.577,8.072
558,2.0,0.0,0.0,0.0,0.00018588843782651972,0.4554561491935484,0.0009945866209068233,0.004951570633658224,0.06454835150413882,0.5913785787779972,0.7507171630859375,7.4297,1219.304931640625,7.962369504564927e-05,4.301123142242432,3.8503,64.41,8.051
837,3.0,0.0,0.0,0.0,0.0004998851218506171,0.4754914314516129,0.0035828482374034437,0.09444757909041301,0.23029749845026282,0.3831445351989359,0.7937441468238831,4.5651,104.24153137207031,7.880976092744308e-05,3.9303340911865234,3.8515,64.391,8.049
1116,4.0,0.0,0.0,0.0,0.0009314811952365277,0.47555443548387094,0.005286547195528866,0.0950267214634458,0.2133189684860656,0.3241741009030452,0.7972262501716614,4.1125,82.11055755615234,7.754956634140494e-05,3.7693629264831543,3.8372,64.63,8.079
1395,5.0,0.0,0.0,0.0,0.0017542273157902524,0.47580645161290325,0.009107217702482528,0.09720623511034152,0.22403174661111067,0.5052134324897687,0.8010899424552917,3.9324,163.48135375976562,7.58576018438301e-05,3.7280337810516357,3.8501,64.414,8.052
1674,6.0,0.0,0.0,0.0,0.0030784276379421105,0.4803427419354839,0.013380220230668058,0.09774836688629845,0.22546447979246212,0.5003832627820023,0.8013639450073242,3.851,62.1961669921875,7.375332276889738e-05,3.6309287548065186,3.8379,64.619,8.077
1953,7.0,0.0,0.0,0.0,0.002627643483559578,0.4821068548387097,0.01167347576029155,0.09802015122272587,0.23166609625032883,0.5129114404181394,0.8009426593780518,3.7788,1201.333984375,7.12609255182848e-05,3.616938352584839,3.8328,64.704,8.088
2232,8.0,0.0,0.0,0.0,0.0022220921791320652,0.4817288306451613,0.011293250356394904,0.09804037737113036,0.22524336556162525,0.5346268248685094,0.803402304649353,3.7423,66.69391632080078,6.84090693348349e-05,3.6051523685455322,3.8459,64.484,8.061
2511,9.0,0.0,0.0,0.0,0.0019486691103897415,0.482421875,0.009519197237501786,0.0987727476769226,0.22619183269596593,0.5217708746994298,0.8021178245544434,3.7103,114.37049865722656,6.523054675950139e-05,3.5915300846099854,3.8248,64.84,8.105
2790,10.0,0.0,0.0,0.0,0.002035856212545029,0.48361895161290325,0.011084850086441628,0.09902539130944925,0.2242605589493718,0.40758431770625014,0.8039226531982422,3.6998,74.54434204101562,6.176190656088229e-05,3.5937421321868896,3.8542,64.345,8.043
3069,11.0,0.0,0.0,0.0,0.0014219179809236966,0.4835559475806452,0.010892126414699993,0.09912176353205944,0.2283708010669526,0.36515158000878156,0.8036395907402039,3.6783,56.466468811035156,5.804303347314724e-05,3.602555751800537,3.8345,64.676,8.085
3348,12.0,0.0,0.0,0.0,0.0006471958951209776,0.4812878024193548,0.0049294148501249115,0.08399246530923478,0.19768308031498957,0.37649424725129826,0.7944589853286743,3.6606,36.49077224731445,5.411668957481151e-05,3.5688211917877197,3.8514,64.393,8.049
