step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1,train_loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,,0.0,0.0035904924150239313,0.0035904924150239313,0.0018931246730345156,0.03150513795045045,0.008293935627975016,0.04446319804664646,0.15744320631647796,0.7912967727910126,0.7859997153282166,,,,29.964385986328125,9.4535,62.094,7.828
660,1.0,0.0,0.0,0.0,9.707534940317934e-06,0.517674901463964,4.22634111803998e-05,0.0036612016707096512,0.022187217635698128,0.5866600065666338,0.7536637187004089,18.0545,306.8166809082031,4.936811629819814e-05,3.7934470176696777,9.4144,62.351,7.86
1320,2.0,0.0,0.0,0.0,0.004496351574941994,0.5391944679054054,0.014982226234083866,0.15345735526063997,0.25369198631995665,0.8098457609265616,0.8165498375892639,3.9963,154.46766662597656,4.632241356255296e-05,3.1743791103363037,9.263,63.37,7.989
1980,3.0,0.0,0.0,0.0,0.005027959533741884,0.5406461148648649,0.015404922798054423,0.152402708704731,0.2497193928481743,0.7350209110733957,0.8111640810966492,3.4067,124.34733581542969,4.10581975089083e-05,3.0255346298217773,9.2829,63.234,7.972
2640,4.0,0.0,0.0,0.0,0.005882696526095912,0.5422913147522522,0.016080711863206313,0.15290829676613568,0.25334107931954974,0.7772600357906836,0.8154357671737671,3.2318,388.1876525878906,3.4123189125302216e-05,2.927959442138672,9.1763,63.969,8.064
3300,5.0,0.0,0.0,0.0,0.004876424773302122,0.5436637809684685,0.013757485473756995,0.14938349409003393,0.25145083354328535,0.7773457255557755,0.805215060710907,3.1474,505.44683837890625,2.623894877422991e-05,2.9062235355377197,10.01,58.641,7.393
3960,6.0,0.0,0.0,0.0,0.004602129704166065,0.5432502815315315,0.013336591265815042,0.14899217368725098,0.2503872825761811,0.774023887344876,0.8046339154243469,3.1193,333.4024963378906,1.822580067320308e-05,2.8860185146331787,10.0372,58.483,7.373
4620,7.0,0.0,0.0,0.0,0.004677042426590245,0.5431183136261262,0.013597710526628023,0.1487592989013893,0.2527515199037233,0.7159146711224151,0.8045174479484558,3.0831,824.792236328125,1.0917481384411468e-05,2.887958288192749,9.905,59.263,7.471
5280,8.0,0.0,0.0,0.0,0.005402420057048403,0.5419130067567568,0.014608274117715817,0.14795601204555028,0.25144198836084836,0.7563307222199068,0.8028409481048584,3.0737,3.2677063941955566,5.074392802641081e-06,2.877263307571411,10.1288,57.954,7.306
5940,9.0,0.0,0.0,0.0,0.005765000970610974,0.5416490709459459,0.01464459471235457,0.14773201586793094,0.2523958959895897,0.7518611363755434,0.8016465306282043,3.0646,9.3579683303833,1.3044853270753582e-06,2.875060558319092,10.088,58.188,7.335
6600,10.0,0.0,0.0,0.0,0.0052232794846241905,0.5415698902027027,0.013801118849335058,0.14736380577331262,0.2523274815729181,0.7328422434216718,0.8015839457511902,3.0652,33.42488479614258,3.0119641725168123e-12,2.875415802001953,9.3016,63.107,7.956
