step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1,train_loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,,0.0,0.0029953180312892545,0.0029953180312892545,0.0016527981087339477,0.033035714285714286,0.007817969835739784,0.04406522723170515,0.1556476909825455,0.8092034626475519,0.7849015593528748,,,,29.308029174804688,8.5883,64.739,8.151
626,1.0,0.0,0.0,0.0,0.0023049412030281633,0.5241350446428571,0.006823866050120498,0.14212048103011307,0.2558433361842564,0.7124999905927326,0.8018956184387207,13.0834,104.0492935180664,9.970666013480475e-05,3.273394823074341,8.5766,64.827,8.162
1252,2.0,0.0,0.0,0.0,0.003491077508569615,0.5267020089285714,0.01442517188684137,0.14670303615648952,0.2504169212194884,0.8708341831470845,0.8177069425582886,3.4059,131.497314453125,9.82150636635785e-05,2.989835739135742,8.6013,64.642,8.138
1878,3.0,0.0,0.0,0.0,0.0083613340290873,0.540234375,0.03308155404045645,0.15031838905167125,0.2777032178351923,0.9374680585129456,0.8132215142250061,3.1724,60.00395584106445,9.549747604484494e-05,2.7793591022491455,8.6337,64.398,8.108
2504,4.0,0.015467625899280576,0.0025779376498800957,0.0025779376498800957,0.04173433954766434,0.7604073660714286,0.1132223877747265,0.2355535035558292,0.3882174839616206,0.987190350284263,0.8546876907348633,2.6148,1.404013752937317,9.162299888523867e-05,1.2051334381103516,8.6295,64.43,8.112
3130,5.0,0.04568345323741007,0.04595780518442389,0.04595780518442389,0.11115479378328567,0.8163225446428571,0.19177670175076642,0.3261125117438749,0.4616971597169726,1.5014331956348803,0.8703518509864807,1.3288,1.1741853952407837,8.669015066296889e-05,0.941892683506012,8.6083,64.589,8.132
3756,6.0,0.04136690647482014,0.03653106086559324,0.03653106086559324,0.11374729275097825,0.8250279017857143,0.2077923833302186,0.33605637399682864,0.4649615594169931,1.5615656126225363,0.8718203902244568,1.1359,1.1437067985534668,8.08243616438691e-05,0.896277129650116,8.6069,64.6,8.133
4382,7.0,0.04820143884892086,0.050459275436793426,0.050459275436793426,0.125373805565411,0.8314453125,0.215160630737546,0.3481595988753658,0.4754448738599899,1.4759393555459122,0.8730605840682983,1.0595,1.5346925258636475,7.417478449650652e-05,0.865965723991394,8.6215,64.49,8.119
5008,8.0,0.04136690647482014,0.03957462601347494,0.03957462601347494,0.10847640306858027,0.8350725446428572,0.1999237596616352,0.3309441437202502,0.45882520155953344,1.4426491967419335,0.8690716624259949,1.008,2.0288708209991455,6.691050170460899e-05,0.8451923131942749,8.6313,64.416,8.11
5634,9.0,0.048561151079136694,0.05184787883978531,0.05184787883978531,0.11221549267742002,0.8373325892857143,0.20360540151767811,0.3367003811065359,0.4602289941686039,1.5236160531078662,0.8661934733390808,0.9743,0.43237224221229553,5.9216226213035334e-05,0.8369835019111633,8.6071,64.598,8.133
6260,10.0,0.0539568345323741,0.06247729089455708,0.06247729089455708,0.12904719506774737,0.8396484375,0.2139606280232113,0.3444599098203016,0.4676958067294805,1.4106282383916595,0.8693983554840088,0.9537,1.8367027044296265,5.1287604629347293e-05,0.8194887638092041,8.63,64.426,8.111
6886,11.0,0.05431654676258993,0.0630064000747454,0.0630064000747454,0.13009345249596185,0.8412109375,0.21671600449018855,0.34728156626971834,0.46860068157625384,1.5659945775850237,0.8689395189285278,0.9281,1.185415506362915,4.3326242409079705e-05,0.8217929601669312,8.6236,64.474,8.117
7512,12.0,0.051798561151079135,0.05824161450060731,0.05824161450060731,0.12362053464283974,0.8430245535714286,0.21039909511684707,0.34216277150614105,0.46547591993688126,1.4648626777383258,0.8672821521759033,0.9157,0.6003614664077759,3.553457752208055e-05,0.812474250793457,8.6199,64.502,8.121
8138,13.0,0.05683453237410072,0.07126947792415418,0.07126947792415418,0.13426041490219237,0.84296875,0.21653582031318375,0.3463345774351505,0.4684438745351349,1.454963523331012,0.8678777813911438,0.9007,1.1637240648269653,2.8110732950048223e-05,0.8124158382415771,8.6385,64.363,8.103
8764,14.0,0.057194244604316546,0.07045228752063284,0.07045228752063284,0.13445999623639251,0.8435825892857143,0.2204549738562863,0.34947505065663653,0.47233191436246574,1.4550719329876816,0.8686727285385132,0.8966,1.3343393802642822,2.1243478903663928e-05,0.80259770154953,8.6217,64.489,8.119
9390,15.0,0.058633093525179855,0.07454028984604524,0.07454028984604524,0.1376406187591769,0.8438616071428572,0.22226223955412058,0.35067184837560955,0.47326844445198296,1.4389376556801248,0.8694062232971191,0.8857,0.4973997175693512,1.510743285781676e-05,0.7991634011268616,8.6374,64.371,8.104
10016,16.0,0.060071942446043164,0.07170538693919988,0.07170538693919988,0.135470337354576,0.8443917410714286,0.2189630916509126,0.35005713375181324,0.4725145174541069,1.4254042631504964,0.8682345151901245,0.8799,1.0636800527572632,9.858619456286001e-06,0.798949658870697,8.6263,64.454,8.115
10642,17.0,0.05755395683453238,0.06833065815080204,0.06833065815080204,0.13602343545364984,0.8444475446428571,0.2194179945562344,0.34894529849199324,0.47069457100001844,1.5306211305144322,0.8676538467407227,0.8758,1.4910860061645508,5.630503186645403e-06,0.8008363842964172,8.6362,64.38,8.105
11268,18.0,0.05827338129496403,0.0678510418438476,0.0678510418438476,0.1343434458196953,0.8445591517857143,0.2178892571384556,0.34781998671068937,0.4706723038107394,1.4347593002169774,0.8675574660301208,0.8739,0.7831754088401794,2.530594704763406e-06,0.7992990612983704,8.613,64.553,8.127
11894,19.0,0.05827338129496403,0.06762836284419017,0.06762836284419017,0.13455907367597858,0.8447265625,0.21831960962836996,0.3479929239781977,0.4706655307288326,1.4349440420888293,0.8676164150238037,0.8726,1.4764236211776733,6.377171017674821e-07,0.7993723750114441,8.623,64.479,8.118
12520,20.0,0.05827338129496403,0.06738855469071296,0.06738855469071296,0.13443655293044487,0.8447265625,0.21799480679688116,0.3476240069693715,0.47037983664919525,1.4342403486452655,0.8675456047058105,0.8725,1.2824523448944092,1.625617390699219e-12,0.7991401553153992,8.6457,64.31,8.097
