step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1,semantic_similarity,train_loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,0.0,0.0,0.0019464434449441945,0.0019464434449441945,0.0016524805656408432,0.039365571120689655,0.008136584983882053,0.04645692580039302,0.16236133550325987,0.41694514312541636,0.7877388000488281,0.16727052530172565,0.0,0.0,0.0,25.25823402404785,7.1168,64.636,8.15
517,1.0,0.0,0.0005614216701173223,0.0005614216701173223,0.0030335729215833457,0.06519396551724138,0.01864086974003834,0.08070455190350667,0.19914818041983368,0.6522043493329507,0.7965402603149414,0.21690111225956807,20.2135,1206.10009765625,3.982758303863914e-05,8.187124252319336,7.1138,64.663,8.153
1034,2.0,0.0,0.0,0.0,0.0007295552528554331,0.4114695581896552,0.0022637724629156293,0.005678143091147795,0.1462646239937935,0.8626468524548171,0.7403052449226379,0.14246243079810444,6.3128,992.8551025390625,3.881211576038883e-05,4.077150821685791,7.1257,64.555,8.14
1551,3.0,0.0,0.0,0.0,9.514384720299754e-05,0.43406519396551724,0.0015019735592359997,0.09345517933068155,0.23752422684969687,0.613996206837798,0.7967351675033569,0.31749156159186814,4.3765,364.7857971191406,3.6930532198062164e-05,3.8419365882873535,7.1292,64.524,8.136
2068,4.0,0.0,0.0,0.0,0.0005298759356093294,0.43396417025862066,0.0043724945653210254,0.09504510760392468,0.23352970411509294,0.6129988503222994,0.8016984462738037,0.31726037541849783,4.0814,167.00222778320312,3.4269461106443494e-05,3.7588322162628174,7.1399,64.427,8.123
2585,5.0,0.0,0.0,0.0,0.0015810830497144225,0.4346039870689655,0.009309272860088078,0.09730938769667122,0.23927101506411452,0.5715007169767932,0.8085637092590332,0.31111644614001976,3.9403,103.22309112548828,3.095141911443793e-05,3.67170786857605,7.1352,64.469,8.129
3102,6.0,0.0,0.0,0.0,0.002434748541126913,0.44265220905172414,0.01052142254526885,0.0980664651060328,0.246641355900599,0.6169845063307765,0.8049378395080566,0.2986379880172646,3.8319,79.58769226074219,2.712917001731068e-05,3.595733165740967,7.1578,64.266,8.103
