step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1
693,1.0,0.09253246753246754,0.1077922077922078,0.1077922077922078,0.16195368305883742,0.8237621753246753,0.2404670609366487,0.34976204913362885,0.4740689421862312,1.0611692093248144,0.8656538724899292
1386,2.0,0.16233766233766234,0.1223330241187384,0.1223330241187384,0.1849562483125422,0.8403510551948052,0.2966794753367803,0.4003865308248081,0.5046384486738493,1.276017973082027,0.8738936185836792
2079,3.0,0.19642857142857142,0.10660173160173161,0.10660173160173161,0.21850242319890403,0.8467938311688312,0.32824963601928375,0.43164246517097926,0.5363908515850379,1.2467119901412833,0.8835909962654114
2772,4.0,0.16396103896103897,0.16778756957328386,0.16778756957328386,0.2036506620743958,0.8506493506493507,0.3036375295671907,0.4050153841942488,0.5143252554692335,1.2028059717322281,0.8769808411598206
3465,5.0,0.1461038961038961,0.10486239950525666,0.10486239950525666,0.18778810640947727,0.852830762987013,0.29980369476766894,0.4003176263932192,0.5143820324569187,1.1534090135188289,0.8770235776901245
4158,6.0,0.14935064935064934,0.16194341372912802,0.16194341372912802,0.16755099882852365,0.8565340909090909,0.2780340927473741,0.37651044259397104,0.4916967653456836,1.072547949881237,0.8755547404289246
4851,7.0,0.18181818181818182,0.14822974644403217,0.14822974644403217,0.21915738030692022,0.858208198051948,0.32762967049349195,0.4284106934814734,0.5343351536196189,1.2367009695891198,0.8839265704154968
5544,8.0,0.14935064935064934,0.15216450216450217,0.15216450216450217,0.19410569134110603,0.859577922077922,0.3065135302198623,0.402631559024719,0.5117869315983832,1.0512633524515314,0.8811911344528198
6237,9.0,0.2012987012987013,0.16509096062667492,0.16509096062667492,0.22387686869458262,0.8621905438311688,0.33952718611245414,0.430033499990978,0.5288498605936843,1.1297956113104097,0.8843474984169006
6930,10.0,0.19155844155844157,0.16829262007833437,0.16829262007833437,0.21729358637396726,0.8629261363636364,0.32693753503822226,0.42300036886567605,0.5280747660691674,1.1887682149056666,0.8842363357543945
7623,11.0,0.22564935064935066,0.18854875283446712,0.18854875283446712,0.2486206596233856,0.8635856331168831,0.3562381689872152,0.4548376039503724,0.5591515116355648,1.1781130852840576,0.8906103372573853
8316,12.0,0.19480519480519481,0.18664579468150896,0.18664579468150896,0.22145571566327782,0.8641943993506493,0.335858666899963,0.4264782142994196,0.5339951038779929,1.0069551091004791,0.8862177729606628
9009,13.0,0.19642857142857142,0.1721526489383632,0.1721526489383632,0.22076776133348486,0.8643212256493507,0.3348584506221512,0.43441619286487015,0.5417691306872501,1.1276823294524183,0.8862133026123047
9702,14.0,0.2159090909090909,0.19098381776953208,0.19098381776953208,0.23271618180654932,0.865817775974026,0.3451924745444118,0.4399415381280964,0.545650492592329,1.062086236415398,0.8876628875732422
10395,15.0,0.19642857142857142,0.19873995052566482,0.19873995052566482,0.230973690821294,0.8665533685064936,0.3481700649801678,0.4420853729656151,0.5472460094423136,1.064274431161256,0.8883717656135559
11088,16.0,0.18181818181818182,0.17927489177489178,0.17927489177489178,0.220139698781474,0.8667309253246753,0.3377137994435565,0.4328915928217131,0.5340446278202734,1.087540426019828,0.8850187063217163
11781,17.0,0.19318181818181818,0.17997191300762727,0.17997191300762727,0.2219986353981151,0.8675172483766234,0.33451034083025466,0.43233571930878756,0.5406636013444633,1.0665738503302635,0.8863075375556946
12474,18.0,0.21428571428571427,0.19381828488971348,0.19381828488971348,0.237935455802792,0.8671367694805194,0.3506720583799988,0.44723977547916066,0.5475406540930344,1.058901457126635,0.8891209959983826
