step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio
576,1.0,0.00390625,0.0989942674512987,0.0989942674512987,0.029579740107213863,0.65087890625,0.08618034572588787,0.20037450150777864,0.33457773086416903,0.5525894237417985
1152,2.0,0.080078125,0.22385475852272727,0.22385475852272727,0.1846171265709812,0.835784912109375,0.3308178215812002,0.4407221888784669,0.5603136988468786,1.3987959671329753
1728,3.0,0.126953125,0.21341610863095237,0.21341610863095237,0.2220439355778595,0.845458984375,0.35914831779470047,0.46620070687884174,0.5777914050815597,1.4775751052843695
2304,4.0,0.125,0.22443421378968254,0.22443421378968254,0.23873109594375785,0.849700927734375,0.3823608731475146,0.48703512697577184,0.587894646145967,1.6201859052938183
2880,5.0,0.150390625,0.2401088169642857,0.2401088169642857,0.2602674712631511,0.851837158203125,0.40305762049938965,0.5036986359260682,0.6021370400961584,1.5112594825852381
3456,6.0,0.177734375,0.2508680555555556,0.2508680555555556,0.271778123535604,0.853729248046875,0.41350643800848413,0.5164003203073606,0.613359164883592,1.5487545096697275
4032,7.0,0.177734375,0.24774305555555556,0.24774305555555556,0.26120971513777186,0.8558349609375,0.40632423489349606,0.5113815581225867,0.6094148864408612,1.5781918555480101
4608,8.0,0.177734375,0.2673440600198413,0.2673440600198413,0.2672631283108652,0.85589599609375,0.4132913933855595,0.5190405869468468,0.616380396779741,1.5083031386580723
5184,9.0,0.197265625,0.268359375,0.268359375,0.27478272879871884,0.856231689453125,0.4184332500232167,0.5230489135902238,0.6199825954383618,1.5709819459224443
5760,10.0,0.193359375,0.26672585227272727,0.2660748106060606,0.2691192258863078,0.856170654296875,0.41398045868443983,0.5185954150903782,0.6153027236430602,1.5772555636405292
