step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1
693,1.0,0.14772727272727273,0.12036693465264894,0.12036693465264894,0.19236210726483224,0.8385247564935064,0.2788854710471987,0.38178454630941067,0.49347116480903996,1.0856769845505185,0.8729303479194641
1386,2.0,0.20616883116883117,0.1601396619253762,0.1601396619253762,0.2388933427163114,0.8516132305194806,0.35084778627037094,0.4448586835892721,0.540947363401807,1.35344563908629,0.8840557932853699
2079,3.0,0.17857142857142858,0.12125077303648732,0.12125077303648732,0.2001251586524489,0.8563311688311688,0.3081062112052017,0.41230680645498646,0.5219015735463753,1.2386797177272508,0.8825404047966003
2772,4.0,0.20616883116883117,0.14453205524634097,0.14453205524634097,0.2155252397885298,0.859375,0.3207382412896633,0.421066127978788,0.5305258345664501,1.1815028299611547,0.8819569945335388
3465,5.0,0.1737012987012987,0.1494975262832406,0.1494975262832406,0.20761296079959754,0.8620637175324676,0.3179463687902221,0.4166164173368839,0.5268598894427833,1.1001651488429964,0.8824046850204468
4158,6.0,0.17532467532467533,0.17209080601937746,0.17209080601937746,0.194550673533401,0.8644987824675324,0.30655347998676324,0.4021150600917082,0.5154614501017478,0.9953965658973885,0.880868673324585
4851,7.0,0.22564935064935066,0.1911770768913626,0.1911770768913626,0.2496920225818433,0.8668831168831169,0.35682239930549664,0.4558754933245617,0.5601606119285782,1.1749759233577541,0.8906031250953674
5544,8.0,0.2288961038961039,0.1741496598639456,0.1741496598639456,0.2472366085538763,0.8675679788961039,0.3554766267630771,0.45240389054475866,0.5585109983029602,1.061809747831844,0.8910579681396484
6237,9.0,0.19967532467532467,0.198572459286745,0.198572459286745,0.2527514200320085,0.8683035714285714,0.3685715978411312,0.4538856360777622,0.5499521284398732,1.1492920391627413,0.8895320296287537
6930,10.0,0.2483766233766234,0.19821170892599466,0.19821170892599466,0.2730945256285971,0.8702820616883117,0.3814776083041639,0.47529491678713176,0.5742416090362811,1.1494015296771243,0.8948045372962952
